발화문,상황
맞아. 딱히 환기될 만한 곳이 없어.,angry
그래서 그런지 하루 종일 화장실 청소만 하는 기분이야.,angry
구매할게. 좋은 제품으로 소개해줘.,angry
내가 쓰레기통을 제때 제 때 비우지 않아서 그래.,disgust
알았어. 지금 버릴려고 묶고 있어.,disgust
다음부턴 나도 조심해야지. 큰 교훈을 얻었다.,disgust
아 짜증나! 그 새끼는 왜 집 구석에 안 들어가고 내 옆에 붙어서 자꾸 지랄하고 있지?,angry
그런 새끼는 욕 먹으려고 그러니깐 욕을 해줘야된다고.,angry
난 기분 풀고 싶을 때 락음악을 들어.,angry
나 오늘 짭새가 몰려 있길래 구경 갔다 왔어.,neutral
짭새들 짜증나게 근처에도 못 오게 바리케이드를 쳤어!,neutral
짭새가 우리 동네에 몰려왔길래 구경 갔다 왔어.,neutral
짜증나게 짭새들 때문에 우산도 잃어버리고 왔잖아!,neutral
우리 동네 짭새가 몰려와서 구경 갔다왔어.,neutral
"어, 일단 배달시켰던 어플에 후기 남겨볼려고.",disgust
와 짜장면에서 벌레가 나왔다!,disgust
그러니까. 새로 생긴 음식점에서 어떻게 그럴 수가 있지?,disgust
그래야겠어. 앞으로 이런 일이 없도록 하기 위해서.,disgust
그래야겠지? 그냥 넘어갈 수가 없지.,disgust
그래야겠지? 근데 갑자기 왜 안쓰럽지?,disgust
나 다친 것 같아.,fear
집 안에 갇혀있어. 밖에는 물이 많이 차올라있고.,fear
너무 무서워. 밖에 나갈 수도 없고. 답답해.,fear
몸은 괜찮아. 집 안으로 물이 안 들어왔으니까.,fear
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
그런 것 같아. 그래서 집은 잘 보고 가야될 것 같아.,angry
왜 그렇게 비가 오는지! 정말 비도 좀 안 왔으면 좋겠어!,angry
그래야겠어. 곰팡이가 너무 안 없어지니까 속상해.,angry
"구매해야겠어. 좋은 거, 좀 강한 거 있으면 추천해줘.",angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
내가 실수로 쓰레기통에 음식물을 넣은 것 같아!,disgust
그러니까. 얼른 버려야되겠어. 냄새가 너무 나고 있어.,disgust
좋은 생각이야. 냄새가 너무 역해서 방향제라도 뿌려줘야 되겠어.,disgust
어쩌겠어. 내가 잘못한 거니까 깨끗하게 치워야지.,disgust
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
알았어 경찰이라고 해 줄게 구경은 별로 못 했어.,neutral
와! 오늘 짭새가 몰려있길래 궁금해서 구경 다녀왔어.,neutral
왜 이렇게 걱정이 많아! 우산은 있으니까 걱정이 없어.,neutral
비는 안 맞을 거고 아프지는 않아.,neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경 다녀왔어.,neutral
싸움이 났는지 말리고 있는 것 같아. 사람들이 너무 많아.,neutral
그런 것 같아. 시끄럽고 소리도 많이 나오고 조금 무서워!,neutral
아! 짜증나. 그 새끼 일 끝났으면 빨리 집에나 가지.남아가지고 자꾸 나한테 화를 내고 있어.,angry
다른 직원들한테는 친절하게 하면서 나한테 자꾸 짜증을 내니까 화가 나서 그래.,angry
욕을 한다고 기분이 좋아지진 않더라. 그래. 노래나 들으면서 기분 풀어야겠어.,angry
나 오늘 짭새새끼들이 몰려있길래 궁금해서 구경 다녀왔어.,neutral
구경하는 사람들이 너무 많아서 왜 몰려 있는지 정확히 모르겠어.,neutral
구경하는 사람들이 너무 많아서 앞이 잘 보이지 않아서 삼십 분 정도 있다가 집에 들어왔어.,neutral
으 짜장면에서 벌레가 나왔어.,disgust
그러니까 너무 지저분하고 더러워서 못 먹겠어.,disgust
너의 말대로 치우기 전에 사진을 찍어 놓을게.,disgust
사진을 메세지로 첨부한 다음에 중국집에 전화를 걸어서 어떻게 이럴 수 있냐고 항의해볼게.,disgust
벌레가 나온 짜장면을 사진으로 찍어놨으니까 증거는 확실한 거잖아. 적당한 조치를 취해줄거야.,disgust
나 갇히게 된 것 같아! ,fear
나 혼자 집 안에 갇히게 되었어. 어떡하지?,fear
짜장면에서 벌레가 나왔어.,disgust
먹다가 토하는 줄 알았어. 정말 짜증 나.,disgust
그렇잖아도 몇 장 찍어놨어.,disgust
와 짜장면에서 벌레가 나왔다.,disgust
"새로 생긴 중국집에 짜장면을 시켰는데, 벌레가 나왔어.",disgust
그러면 정말 반성을 해줄까?,disgust
어. 그래야되겠어. 정말 고마워.,disgust
그냥. 자는 동안에 비가 엄청 많이 왔대. 그래서 사람들은 대피를 했대.,fear
응 아무리 청소해도 깨끗해지지가 않네.,angry
잘 모르겠지만 아마도 환기 문제인 것 같아.,angry
"뭔진 모르겠는데, 뭐가 썩고 있나봐.",disgust
몸은 괜찮아.,fear
그래. 장마 철이라서 더 힘들어.,angry
곰팡이제가 과연 효과가 있대?,angry
근거가 없을까? 빨리 지워지는?,angry
그렇게 좋다면 당연히 구매해야지.,angry
쓰레기통을 제때 비우지 않아서 그렇지 뭐.,disgust
맞아. 그런 것도 있어. 지금 바로 버릴게.,disgust
"방향제는 처리할 수 있을까, 냄새를?",disgust
지금 힘들어 죽겠어. 근데 해야지.,disgust
나 음악 안 좋아해. 너나 들어.,angry
보지도 못하게 해서 바로 나와버렸어.,neutral
우리 동네 짭새 몰려들어서 깜짝 놀랐잖아.,neutral
짭새땜에 우산도 잃어버렸어.,neutral
비염 빼고 괜찮아.,neutral
그게 궁금해서 나도 쫓아가봤지.,neutral
와. 짜장면에서 벌레가 나왔다?,disgust
그래야겠어. 다시는 그런 일이 없도록 하기 위해서.,disgust
그래야겠지? 딴 소리 안 나오게 미리 얘기해야겠어.,disgust
그래 알겠어. 확실하게 얘기를 해둬야지!,disgust
나 갇힌 것 같아.,fear
집에 갇혀있어. 바깥에는 물이 많이 고여있고.,fear
조금 무서운 것 같아. 바깥에 물이 고여 있으니 나가지도 못하고.,fear
몸은 괜찮은데 걱정이 돼. 저 물이 언제 빠질지.,fear
화장실은 청소를 해도 곰팡이가 없어지지 않아.,angry
그런 것 같아. 우리 집엔 창문도 없어.,angry
그러니까. 비는 또 왜 그렇게 와. 속상하게.,angry
그래야 할 것 같아. 너무 안 없어져 곰팡이가.,angry
짜장면에서 벌레가 나오니까 너무 지저분하고 더러워서 버려야겠어!,disgust
그래. 치우기 전에 증거로 사진 찍어놓을게.,disgust
짜장면에서 벌레가 나온 사진이 증거로 확실하잖아. 그러니까 적당한 조치를 취해주겠지?,disgust
짜장면에서 벌레가 나온 사진이 증거로 확실하니까 적당한 조치를 취해줄거야.,disgust
나 갇히게 된 것 같아!,fear
나 혼자 집 안에 갇히게 됐어! 어떡하지?,fear
나 혼자 집 안에 갇히게 되니까 당연히 무섭지!,fear
몸은 괜찮은데 집 안으로 물이 들어올까봐 너무나 걱정돼.,fear
화장실은 청소를 해도 곰팡이가 없어지지 않아.,angry
습기가 많고 환기가 잘 되지 않는 거 같아서 매일 청소를 하는데 곰팡이가 안 없어져.,angry
습기 때문에 계속 생기는 곰팡이를 어떡하면 없앨 수 있을까?,angry
곰팡이 제거제가 효과가 있어? ,angry
그래? 나 구매해서 한 번 사용해볼래. 좋은 제품 좀 추천해줘.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
내가 며칠 전에 버린 음식물 쓰레기가 상해서 냄새가 나는 것 같아.,disgust
냄새가 너무 고약해서 버리려고 쓰레기 봉투에 담아놨어.,disgust
고약한 냄새는 방향제로 처리하는 게 가장 좋은 방법 같아.,disgust
에휴. 내가 잘못 해서 생긴 일이니까 얼른 청소 해야지.벌레가 생길까봐 걱정돼.,disgust
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
구경하는 사람들이 너무 많아서 왜 몰려있는지 잘 못봤어.,neutral
내 앞에 사람들이 엄청 많아서 앞이 잘 보이지 않아서 30분 정도 구경하다가 집에 왔어.,neutral
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어. ,neutral
내일 비가 온대? 비 많이 온대? 사무실에 우산 있어.,neutral
사무실에 우산 있으니까 비 안맞아. 걱정하지 마. 건강은 괜찮아.,neutral
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어. ,neutral
사람들이 너무 많아서 무슨 일인지 잘 안 보였어.,neutral
나는 정확하게 못 봤는데 주변 사람들 말로는 싸움이 나서 그런 거래.,neutral
"아, 짜증나. 그 새끼 일 끝났으면 집에나 가지 사무실에 남아서 자꾸 나한테 뭐라고 해!",angry
다른 직원들한테는 친절하게 하면서 나한테 자꾸 화내고 짜증내니까 화가 나서 그래.,angry
그래. 그냥 음악이나 들으면서 너 말대로 기분풀어야겠다. 나는 신나는 음악이 좋아.,angry
구매해야겠어. 좋은 거 있으면 추천해줘. 아주 강력한 걸로.,angry
쓰레기통에서 역겨운 냄새가 나고 있어!,disgust
음식물이 쓰레기통에 섞여들어갔었나봐.,disgust
그러니까 얼른 치워야겠어. 냄새가 심해!,disgust
그래야겠지? 냄새가 너무 심해서 빨리 없애야 해.,disgust
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.  ,neutral
그래. 경찰이라고 할게. 구경 별로 못했어. 사람들이 많아서.,neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경 다녀왔어.,neutral
"날시는 원래 변덕스러워. 무슨 걱정이야, 우산도 있는데.",neutral
비 맞을 일은 없어. 건강은 아주 괜찮아.,neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경 다녀왔어.,neutral
누군가 싸우는 지 말리고 있는 것 같아 사람들이 너무 많아.,neutral
너무 더럽고 지저분해서 안 먹고 버리려고.,disgust
너의 말대로 증거로 사진을 찍어 놓을게.,disgust
사진을 메세지로 첨부한 다음에 항의 전화를 해야겠어.,disgust
벌레가 나온 짜장면을 증거로 찍어 놨으니까 아무 소리 못하겠지.,disgust
나 갇히게 된 것 같아.,fear
나 혼자 집 안에 갇히게 되었어! ,fear
장마 때문에 비가 엄청 많이 내려서 우리 동네가 고립되면서 집 안에 갇히게 되었어!,fear
혼자 집 안에 갇히게 되니까 엄청 무섭지.,fear
몸은 괜찮지만 집 안으로 물이 들어올까봐 너무나 무서워.,fear
화장실에 곰팡이는 아무리 청소를 해도 없어지지 않아.,angry
"그래서 매일매일 청소를 하고 있는데, 곰팡이가 안 없어져.",angry
습기 때문에 계속 생기는 곰팡이를 어떻게 하면 없앨 수 있을까?,angry
곰팡이 제거제가 효과가 있어?,angry
그래? 효과가 있다고 하니까 나 구매해볼래. 좋은 제품 좀 추천해줘.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
내가 쓰레기통에 버린 음식물 쓰레기가 상해서 냄새가 나는 거야.,disgust
냄새가 너무 고약해서 버릴려고 쓰레기 봉투에 넣어놨어.,disgust
냄새는 방향제로 처리하는 게 가장 좋은 방법 같아.,disgust
힘들어도 집안에 벌레가 생기기 전에 얼른 청소해야지.,disgust
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어.  ,neutral
왜 몰려 있는지 사람들이 많아서 잘 알 수가 없었어.,neutral
너무나 궁금했는데 구경하는 사람들이 너무 많아서 앞이 안 보여서 30분만 구경하고 왔어. ,neutral
오늘 날씨 엄청 좋던데 내일 비가 온대. 괜찮아. 사무실에 우산 있어.,neutral
사무실에 우산이 있으니까 비 안 맞을거야. 걱정하지마. 요즘 건강은 괜찮아.,neutral
나 오늘 짭새들이 몰려있길래 궁금해서 구경 다녀왔어.,neutral
구경하는 사람이 엄청 많아서 무슨 일인지 정확히 못 봤어.,neutral
내 앞에 사람들이 많아서 나는 못봤는데 어떤 사람이 시위를 하느라고 경찰이 왔대.,neutral
"아, 짜증나! 그 새끼 일 끝났으면 빨리 집에나 가지, 남아가지고 자꾸 잔소리 해!",angry
너가 안 당해봐서 몰라! 다른 직원들한테는 친절하면서 나한테만 자꾸 짜증내고 화를 내!,angry
에휴. 그래 음악이나 들으면서 기분 풀어야겠다. 나는 발라드가 좋아.,angry
그렇지 않아도 우리 신랑이 사진 찍어 놨어.,disgust
아무래도 그래야되겠지? 두 번 다시 이런 일 없도록.,disgust
알았어. 나도 전화해서 적당한 보상도 좀 받고싶다.,disgust
어 그럴게.,disgust
맞아. 너무 힘들어 죽겠어. ,disgust
아유. 상사 새끼 왜 집에 안 가고 지랄이야.,angry
저런 놈 욕을 해줘야 돼. 욕 처먹고 싶어서 저러니깐.,angry
짭새 쫓아다니느라고 우산도 잃어버리고 왔어. 짜증나게.,neutral
난 요즘 괜찮아. 비염 빼고는.,neutral
나도 그 짭새가 궁금해서 쫓아 다녔다가 쫓겨났어.,neutral
그렇게 심각한 분위기는 아녔어.,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
누군가 싸우는지 시끄럽고 소리가 너무 크게 나고 있어. 무서워.,neutral
그런 것 같아. 사람들도 많고 소리가 너무 크게 나고있어.,neutral
맞아. 문제는 환기였어.,angry
그래서 그런지 곰팡이가 엄청 피더라고.,angry
쓰레기통에서 역겨운 냄새가 나기 시작했어.,disgust
내가 쓰레기통을 제대로 안 비웠어.,disgust
앙ㄹ았어. 짜증 좀 그만 부려. 바로 버릴게.,disgust
방향제가 과연 효과가 있을까?,disgust
알아. 너무 힘들어. 그렇잖아도. 힘 낼게.,disgust
니가 그 새끼한테 안 당해봐서 그래. 그 미친놈이라니까.,angry
나도 그게 궁금해서 갔다가 잘 못봤어.,neutral
아우. 짜장면에서 벌레가 나왔어.,disgust
그치? 너무 지저분하지? 더러워서 버리려고 밖에다 빼놨어.,disgust
아차! 그 생각을 못했네. 지금 당장 가서 사진을 찍어놔야겠어!,disgust
그래. 너 말대로 사진을 첨부해서 항의 전화를 해야겠어. 너무 화가 나.,disgust
내가 벌레가 나온 사진을 찍어놨으니까 증거는 확실하지?,disgust
나 갇히게 된 것 같아.,fear
나 혼자 집 안에 갇히게 되었어! 어떻게 해?,fear
장마 때문에 비가 많이 와서 우리 동네가 고립되면서 나 혼자 집 안에 갇히게 됐어.,fear
나 혼자 집 안에 갇히게 되니까 엄청 무서워!,fear
몸은 괜찮지만 집 안에까지 물이 들어올까봐 너무 걱정돼.,fear
쓰레기통에서 역겨운 냄새가 나고 있어! ,disgust
내가 버린 음식물 쓰레기가 상해서 냄새가 나고 있어.,disgust
냄새가 너무 심해서 버리려고 밖에다 빼놨어.,disgust
너의 말대로 방향제로 처리하는 게 가장 좋을 것 같아.,disgust
힘들어도 집 안에서 냄새가 너무 고약하니까 얼른 치워야지.,disgust
응 영상 추천 고마워.,angry
응. 비가 너무 많이 와서 나갈 수가 없어.,angry
1년 만에 휴가인데 그러네.,angry
음. 그래 그거 정말 좋은 생각이다.,angry
"고앳이 많지, 내가 정말.",angry
응. 알겠어. 그렇게 얘기해줄게.,angry
그래 고마워. 빨리 할게.,disgust
"어때, 안 들리는데.",angry
나도 좋아.,angry
그건 나도 잘 모르겠더라.,neutral
우산은 있는데 걱정이네.,neutral
무슨 일 있었냐면 그건 잘 몰라.,neutral
그런 건 아니고. 잘 몰라.,neutral
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
구경하는 사람들이 너무 많아서 왜 몰려있는지 볼 수가 없었어!,neutral
무슨 일인지 보고 싶었는데 보이지 않아서 30분 정도 구경하다 왔어.,neutral
나 오늘 짭새들이 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
내일 비 소식이 있어? 사무실에 우산 있어.,neutral
요즘 건강은 괜찮아. 그리고 사무실에 우산 있으니까 걱정하지 마.,neutral
나 오늘 짭새들이 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
구경하는 사람들이 너무 많아서 무슨 일인지 알 수가 없었어! ,neutral
사람들 말로는 싸움이 나서 짭새들이 온 거래. 하지만 정확한 건 몰라.,neutral
아무래도 그런 것 같긴 해. 정말 큰일이야.,angry
이야기할게. 정말 고맙다.,angry
빨리 버리고 와야겠어. 정말 큰일이야.,disgust
나 갇힌 게 집에 갇힌 것 같아.,fear
화장실은 아무리 청소를 해도 곰팡이가 안 없어져.,angry
곰팡이를 제거하는 방법이 있어?,angry
곰팡이 제거제가 효과가 있다고 하니까 나 구매해볼래.,angry
진짜 효과가 있어? 나 구매할래.,angry
아우. 짜증 나! 그 새끼 일 끝났으면 빨리 집에나 가지. 남아가지고 나한테 자꾸 뭐라고 해.,angry
에휴 그래. 음악이나 들으면서 마음 풀어야겠다. 나는 신나는 음악 좋아해.,angry
에휴. 너의 말 대로 음악이나 들으면서 기분 풀어야겠어. 나는 신나는 음악이 좋아.,angry
그치. 먹다가 정말 토하는 줄 알았어.,disgust
그래야되겠지? 다시는 이러지 못하게?,disgust
알았어. 나도 사과 좀 받고 싶다.,disgust
장마철이라 그런가 하루종일 곰팡이와의 전쟁이야.,angry
곰팡이 제거제가 효과가 있을까?,angry
알았어. 다음부터는 조심할게.,disgust
과연 방향제로 냄새를 잡을 수 있을까?,disgust
아 짜증 나! 상사 새끼는 왜 집에 안 가고 내 옆에 붙어서 지랄이야!,angry
니가 안 당해봐서 그래! 저런 놈은 욕을 해줘야 된다고!,angry
난 음악 듣고 싶지 않아! 기분이 내키질 않네.,angry
아니 짭새 표현이 어때서? 짭새를 짭새라 하지 뭐라고 해 그럼! 그리고 잘 못 봤어.,neutral
짭새 구경 얼마 못 했어.,neutral
우리 동네 짭새가 몰려와서 구경 갔다왔어. ,neutral
짭새 쫓아갔다가 우산도 잃어버리고 왔어.,neutral
알았어. 비염 빼고는 별 건강은 괜찮아.,neutral
쫓아갔다가 구경도 못 가고 쫓겨났어!,neutral
그렇게 심각한 분위기는 아녔어.,neutral
와. 짜장면에서 벌레가 나왔다?,disgust
나 갇힌 것 같아.,fear
집 안에 갇혀있어. 밖에 물이 많이 고여있고.,fear
자고 일어났더니 전화가 여러번 왔었더라고. 그런데 밖에 비가 너무 많이 와.,fear
조금 무서워. 비가 계속 오고있으니까 더 물이 고여서.,fear
몸은 괜찮은데 나갈 수가 없으니까 겁이 나!,fear
화장실은 청소를 해도 곰팡이가 없어지지 않아.,angry
그런 것 같아. 우리 집은 창문도 없어. 답답해!,angry
비는 왜 그렇게 오는지. 더 곰팡이가 생기고 있어.,angry
그래야 할 것 같아. 이렇게는 안 되겠어.,angry
구매해야겠어. 효과가 좋은걸로 소개 좀 시켜줘.,angry
쓰레기통에서 역겨운 냄새가 나고 있어!,disgust
쓰레기통에 음식물이 섞여 들어간 것 같아.,disgust
그래야지. 얼른 버려야겠어. 냄새가 너무 심해.,disgust
그래야겠지? 냄새는 방향제로 없애야 되겠어.,disgust
어쩌겠어. 내가 실수한 거니까 얼른 깨끗이 치워야지.,disgust
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어. ,neutral
누군가 싸우는지 말리고 있는 것 같아. 너무 시끄럽고 정신이 없어.,neutral
알았어. 경찰이라고 할게. 구경 별로 못해서 너무 정신이 없어서.,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어. ,neutral
날씨는 언제나 다양해. 변덕스러워서 걱정 안 해.,neutral
안 나가면 되지. 집에서 있으면 돼. 건강도 좋아.,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어. ,neutral
어디서 싸움이 일어났나봐. 시끄럽고 소리 치고 난리가 아니야.,neutral
그런 것 같아. 사람도 많고 싸움은 정말 싫어.,neutral
아우 짜장면에서 벌레가 나왔어!,disgust
짜장면에서 벌레가 나오니까 더러워서 못 먹겠어. 버려야할 것 같아.,disgust
그래. 너의 말대로 사진을 찍어 놔야겠어.,disgust
알았어. 지금 당장에 항의 전화 해볼게. 사진도 메세지한테 첨부할게.,disgust
벌레가 나온 사진을 찍어놨으니까 증거는 확실하지. 그러면 정확하게 조치를 취해주겠지?,disgust
나 갇히게 된 거 같아.,fear
집 안에 갇히게 돼서 너무 무서워!,fear
장마 때문에 비가 엄청 내려서 우리 동네가 고립되면서 집 안에 갇히게 됐어!,fear
혼자 있으니까 당연히 무섭지. 어떻게 해?,fear
몸은 괜찮지만 집 안으로 물이 들어올까 봐 너무 걱정 돼.,fear
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
내가 쓰레기통에 버린 음식물 쓰레기가 상해서 냄새가 나는 거야.,disgust
냄새가 너무 독해서 버리려고 쓰레기 봉투에 넣어놨어.,disgust
너의 말대로 냄새를 방향제로 처리해야 될 거 같아.,disgust
힘들어도 방에서 냄새가 나니까 얼른 치워야지. 벌레가 생길 것 같아.,disgust
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
구경하는 사람들이 너무 많아서 왜 몰려있었는지 모르겠어.,neutral
앞에 사람들이 너무 많아서 보이지가 않아서 짜증 나서 30분 정도 있다 집에 왔어.,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
내일 비 소식이 있어? 비가 많이 온대? 사무실에 우산 없어.,neutral
내일 집에서 나올 때 우산 가지고 나오면 비 안 맞을 거야. 건강은 괜찮아.,neutral
나 오늘 짭새들이 올려있길래 궁금해서 구경 다녀왔어.,neutral
구경하는 사람들이 너무 많아서 무슨 일인지 알 수가 없었어.,neutral
나는 잘 못 봤는데 주위에 사람들 말로는 싸움이 나서 온 거래!,neutral
갇힌 것 같아! 어떡하면 좋지?,fear
집에 갇혔어. 밖에 비가 너무 많이 와.,fear
가 많이 와서 나갈 수가 없어.,fear
나 친구랑 약속 있는데 뭘 먹어야 할지 고민이야.,neutral
좋아. 에피타이저는 다 좋아하지.,neutral
정말 고마워. 맛있게 먹고 올게.,neutral
아니 요즘 다들 왜들 그러는 거지? 난 도대체 이해할 수가 없어.,angry
유명한 유튜버들이 왜 돈 받고 뒷광고를 하는지 모르겠어!,angry
당연히 실망스럽지. 그 말만 믿고 제품을 산 사람들도 꽤 되더라고.,angry
아니. 제대로 된 사과를 하는 유튜버는 별로 없었어.,angry
자고 일어났더니 우리 동네 전체가 다 물바다야.,fear
자는 동안에 비가 그렇게 많이 올지 몰랐지. 난 대피 문자도 못 봤다고.,fear
맞아. 우리집 빼고 주위가 다 물로 잠겨있어.,fear
다행히 난 괜찮아. 우리집도 아직 잠기지 않았고.,fear
내 휴가가 엉망진창이 되었다고.,angry
휴가 첫 날부터 비가 엄청 오고 있어.,angry
여름 바다를 가려고 했었지. 꿈도 야무지지.,angry
회사가 바빠서 정말 1년 만에 가는거라고.,angry
아무래도 그래야 할 것 같아. 나 영화 좋아하는데.,angry
화장실은 청소를 해도 곰팡이가 사라지질 않아.,angry
맞아. 우리 집 화장실은 환기가 될 만한 곳이 없어.,angry
맞아. 그래서 그런가 하루종일 화장실 청소만 하는 기분이야.,angry
곰팡이 제거제가 효과가 있을까?,angry
훨씬 낫다면 구매하는 게 낫겠지.,angry
내가 쓰레기통을 제 때 안비워서 그래.,disgust
알았어. 그렇잖아도 묶어놨어. 버릴려고.,disgust
과연 방향제가 효과가 있을까?,disgust
"다음부턴 제때제때 쓰레기통 비워야지, 뭐.",disgust
아 짜증나! 그 새끼는 할 일 없으면 집에나 갈 것이지 왜 결혼 못 한 히스테리를 나한테 부리나 몰라!,angry
그런 놈은 욕 쳐먹으려고 하는 거라고. 그럼 욕을 해줘야지.,angry
스트레스를 확 날려줄만 한 음악으로 부탁해.,angry
나 오늘 짭새가 몰려와서 정말 깜짝 놀랐어.,neutral
나도 그게 궁금해서 쫓아갔다왔지.,neutral
짜증나게 짭새 새끼들 쫓아갔다가 우산도 잃어버리고 왔어.,neutral
난 아직은 괜찮아. 하지만 비염 때문에 죽겠어!,neutral
나 오늘 짭새가 우리 동네에 몰려와서 정말 깜짝 놀랐어.,neutral
그러니까 나도 궁금해서 구경갔다가 쫓겨왔어.,neutral
그렇게 심각한 분위기는 아니었던 것 같아. 그나마 다행이지.,neutral
강남역에서 만나기로 했는데 뭘 먹을지 못 정했어.,neutral
애피타이저부터 푸짐하게 주는 집 정말 좋을 것 같아.,neutral
너가 추천한 곳이니까 믿고 먹을 수 있을 것 같아. 친구랑 같이 다녀올게.,neutral
"아니, 요즘 다 왜 이러는 거야? 정말 이해가 안돼.",angry
내가 믿었던 유튜버인데 뒷광고를 했다고 하니까 너무 배신감이 느껴져.,angry
"사과라고 보기에는 어렵고, 자기 변명만 하고 있어서 더 화가 났어.",angry
나 갇히게 된 것 같아!,fear
아무래도 집 안에 갇혀서 나갈 수가 없는 것 같아.,fear
갑자기 비가 많이 와서 우리 동네가 고립됐어. 그러면서 갇히게 됐어.,fear
내 휴가가 엉망이야.,angry
오늘부터 일주일 동안 휴가 기간인데 휴가 기간 내내 비가 온대.,angry
오랜만에 가족들이랑 동해바다에 놀러 갔다오기로 했어 그런데 망했어.,angry
일이 많고 바빠서 일 년만에 받은 휴가인데 비가 와서 아무데도 갈 수가 없어.,angry
화장실은 청소를 해도 곰팡이가 안 없어져.,angry
"그래서 화장실을 매일매일 청소하고 있는데, 곰팡이가 안 없어져.",angry
습기가 너무 많아서 곰팡이가 계속 생기는 것 같아.,angry
곰팡이 제거제가 효과가 있다고 하니까 나 구매해볼래.,angry
내가 버린 음식물쓰레기가 썩어서 냄새가 나는 거야.,disgust
냄새가 너무 심해서 버리려고 밖에다 빼놨어.,disgust
너무 지저분하니까 힘들어도 얼른 청소 해야지.,disgust
아 짜증나! 그 새끼 일 끝났으면 빨리 집에나 가지 남아가지고 자꾸 나한테 뭐라고 해!,angry
사람들이 너무 많아서 무슨 일인지 볼수가 없었어.,neutral
내일 집에서 나올 때 우산을 가지고 나오면 비 안 맞을거야. 건강은 괜찮아.,neutral
30분 정도 구경을 하고 있었는데 무슨 일인지 알 수가 없어서 집에 왔어.,neutral
나 내일 친구를 만나기로 했는데 뭘 먹어야 될지 모르겠어.,neutral
강남역 주변에서.,neutral
너무 고맙다.,neutral
내일 친구를 만나는데 뭘 먹을 지 모르겠어.,neutral
강남에서 만나는데 그곳에는 먹거리가 참 많다고 해.,neutral
뭐니 뭐니 해도 일식이 맛있지! 일식이 좋아.,neutral
너무 좋지. 우리는 그곳이 어떤 곳인지 잘 모르니까. 추천해줘.,neutral
"아니, 요즘 다들 왜 그러지? 이해가 안 가네.",angry
유튜버들이 사람들을 속여가면서 광고를 하고있어.,angry
아니. 진정성이 안 보여. 또 언제 사람들을 속일 수 있을 것 같아.,angry
뭐 한번 보지 뭐. 기분도 꿀꿀하니까.,angry
집 안에 갇혀 있어. 이게 무슨 상황인지 모르겠어.,fear
나갈 수가 없어. 밖에 물이 너무 많이 차올라있어.,fear
내 휴가가 엉망이야.,angry
휴가를 냈는데 태풍에 장마가 겹쳐가지고 밖에 나갈 수가 없어.,angry
친구들하고 여름 바다에 가서 수영도 하고 신나게 놀려고 했지.,angry
1년 만에 휴가야 그동안 너무 바빠서 제대로 쉰 적이 없거든.,angry
화장실은 청소를 해도 곰팡이가 없어지지 않아.,angry
그런 것 같아. 너무 습해. 짜증이 나.,angry
그래야할 것 같아. 어떻게든 곰팡이 냄새는 없애고 싶어.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
쓰레기 버릴 때 음식물이 섞여 들어간 것 같아.,disgust
그래야겠어. 냄새가 쉽게 안 빠지네.,disgust
어쩌겠어. 내가 실수한 거니까 깨끗이 치워야겠지.,disgust
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어. ,neutral
사람들이 너무 많아서 그냥 왔어.,neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경 다녀왔어.,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
대판 싸우는 것 같아. 시끄럽고 사람도 너무 많아.,neutral
그런 것 같아. 너무 시끄럽고 소리가 엄청 큰 소리가 나고 있어.,neutral
갑자기 물이 차 올라 집 주변에서 밖으로 나갈 수 없을 것 같아.,fear
